#,Style Guide Adherence,Variable Name Quality,Complexity Score,Max Line,Comment Ratio,Readability
6,5.14,0.36282051282051286,1.625,63,0.0,28.15
2,2.0,0.30833333333333335,2.25,64,0.25,26.01
3,4.44,0.14892364447621817,1.8461538461538463,64,0.06060606060606061,27.84
7,3.78,0.24474935167365602,1.625,66,0.0,28.7
15,6.3,0.39607843137254906,1.625,64,0.13043478260869565,27.08
44,6.67,0.31666666666666665,2.25,64,0.2222222222222222,26.02
70,7.39,0.3625,2.25,64,0.15384615384615385,26.33
31,4.0,0.5416666666666667,2.0,64,0.18181818181818182,26.29
60,8.08,0.3277777777777778,2.25,79,0.25925925925925924,25.83
54,7.94,0.43333333333333335,2.25,64,0.34285714285714286,26.66
25,6.86,0.40555555555555556,1.625,64,0.09615384615384616,27.04
74,5.83,0.37916666666666665,2.25,64,0.14814814814814814,26.83
40,5.69,0.40075757575757576,3.7333333333333334,146,0.09090909090909091,34.28
11,4.04,0.3782884899999887,1.625,76,0.07407407407407407,28.27
8,2.04,0.6301330646293031,1.75,97,0.20754716981132076,29.44
50,6.77,0.34444444444444444,2.25,67,0.25806451612903225,27.48
64,7.86,0.38333333333333336,3.0,64,0.13333333333333333,26.67
35,3.75,0.5496154806680149,2.0,64,0.375,63.12
24,6.74,0.3685185185185185,1.625,64,0.6382978723404256,22.08
75,7.5,0.4125,2.25,73,0.23809523809523808,27.69
41,7.54,0.4111111111111111,2.4444444444444446,64,0.10294117647058823,37.85
10,6.21,0.44999999999999996,1.7142857142857142,74,0.13793103448275862,67.35
9,5.5,0.3564814814814815,1.625,64,0.1,27.62
51,6.76,0.35833333333333334,2.25,83,0.2857142857142857,30.35
65,7.05,0.3574074074074074,2.5714285714285716,68,0.09090909090909091,27.48
34,2.63,0.43333333333333335,2.25,64,0.18181818181818182,27.23
14,7.27,0.42777777777777776,1.625,81,0.17777777777777778,28.72
45,1.86,0.39019607843137255,2.0,64,0.09090909090909091,27.8
71,6.0,0.3318439016739527,2.25,64,0.2,26.37
20,4.82,0.3373563218390805,1.8571428571428572,87,0.12280701754385964,29.11
30,5.29,0.525,2.25,64,0.23529411764705882,26.63
146,6.47,0.44305555555555554,1.8181818181818181,64,0.23529411764705882,26.5
55,4.78,0.3370142965799286,2.25,77,0.34782608695652173,27.32
76,7.78,0.35555555555555557,2.25,54,0.1111111111111111,29.0
27,7.22,0.4791666666666667,2.5,71,0.21052631578947367,25.93
13,5.96,0.43636363636363634,2.4285714285714284,75,0.11864406779661017,27.47
42,7.58,0.4148148148148148,1.9,94,0.1746031746031746,29.31
52,8.52,0.4523809523809524,2.25,53,0.1111111111111111,29.37
37,0.0,0.3666666666666667,2.5,91,0.18181818181818182,29.15
66,5.5,0.4125,2.25,64,0.23809523809523808,26.01
46,2.86,0.3024644087374509,2.0,64,0.16326530612244897,26.72
146,6.62,0.4114035087719298,2.5,64,0.08641975308641975,33.19
23,0.0,0.24689880256644553,2.25,64,0.37037037037037035,25.62
72,3.48,0.32916666666666666,2.25,64,0.25,24.82
62,8.08,0.3277777777777778,2.25,79,0.2222222222222222,26.24
33,7.2,0.39583333333333337,2.2,49,0.08,27.15
56,6.76,0.35833333333333334,2.25,83,0.2857142857142857,30.35
47,8.63,0.3738095238095238,2.75,66,0.1346153846153846,26.74
16,6.46,0.42833333333333334,4.0,70,0.06153846153846154,27.64
22,7.59,0.39621212121212124,3.0,70,0.11904761904761904,28.55
73,5.71,0.3875,2.25,64,0.17391304347826086,26.56
63,7.05,0.3574074074074074,2.5714285714285716,68,0.09090909090909091,27.48
32,5.88,0.5083333333333333,2.25,64,0.23529411764705882,45.82
57,7.33,0.39166666666666666,2.0,64,0.13333333333333333,27.42
77,7.89,0.42083333333333334,2.25,64,0.2,25.45
26,7.22,0.4222222222222222,2.5,64,0.2222222222222222,25.81
146,6.02,0.5235632183908046,2.357142857142857,64,0.17142857142857143,26.47
43,7.54,0.4148148148148148,1.9,94,0.1774193548387097,29.34
53,7.33,0.39166666666666666,2.0,64,0.13333333333333333,27.42
36,4.44,0.30833333333333335,2.25,64,0.2,27.08
67,6.9,0.3666666666666667,1.8571428571428572,102,0.3,27.49
19,6.3,0.3824074074074074,2.1818181818181817,64,0.13333333333333333,26.84
48,1.86,0.39019607843137255,2.0,64,0.09090909090909091,27.8
0,6.67,0.42777777777777776,2.25,107,0.41379310344827586,28.64
58,6.67,0.48333333333333334,2.0,68,3.033333333333333,17.91
29,5.5,0.4875,2.25,64,0.2857142857142857,25.68
78,7.37,0.35,2.25,66,0.2,26.71
68,6.36,0.4633333333333333,2.5,49,0.0,28.69
39,7.54,0.4148148148148148,1.9,94,0.1774193548387097,29.34
4,6.05,0.35444444444444445,1.625,93,0.4418604651162791,23.84
28,4.21,0.4444444444444444,2.25,64,0.18181818181818182,26.41
79,7.0,0.4041666666666667,2.25,64,0.2857142857142857,24.89
69,4.35,0.45,2.5,64,0.15384615384615385,26.3
38,5.5,0.34509803921568627,2.142857142857143,76,0.12195121951219512,27.46
5,2.67,0.30833333333333335,2.25,64,0.26666666666666666,26.43
18,5.85,0.4125,1.8571428571428572,64,0.10256410256410256,36.69
49,5.0,0.3447368421052632,2.0,64,0.0851063829787234,27.47
1,2.86,0.31666666666666665,2.0,64,0.2857142857142857,25.76
59,5.19,0.3370142965799286,2.25,69,0.2857142857142857,27.69
