#,Style Guide Adherence,Variable Name Quality,Complexity Score,Max Line,Comment Ratio,Readability
89,4.29,0.63125,1.5,68,Good,24.97
159,3.64,0.6266666666666667,1.5,68,Medium,24.9
108,3.53,0.62,2.5,68,Good,26.1
118,6.25,0.6458333333333334,4.0,81,Medium,27.81
149,0.0,0.5833333333333333,2.0,78,Very Bad,63.99
99,3.12,0.5333333333333333,2.25,68,Good,25.19
6,6.57,0.44907407407407407,1.625,59,Medium,28.1
169,4.55,0.45384833964859495,3.1666666666666665,106,Medium,31.59
138,8.17,0.5137254901960784,2.6153846153846154,81,Medium,40.84
128,3.53,0.62,2.5,68,Good,26.06
2,2.0,0.5266666666666666,2.25,64,Good,26.01
168,1.11,0.4211963385757473,1.6666666666666667,66,Good,27.13
139,6.77,0.40400546120095343,2.9166666666666665,86,Medium,31.16
129,4.18,0.4324534239316428,2.7,68,Medium,37.61
3,5.24,0.22116675224564172,1.8461538461538463,64,Medium,27.81
88,6.07,0.5454033260995692,3.25,68,Good,32.21
158,2.67,0.5533333333333333,2.0,71,Medium,26.84
109,3.08,0.5805555555555555,1.5,68,Medium,25.24
119,4.29,0.42440071478486063,2.4,73,Good,65.23
148,0.0,0.625,1.5,84,Medium,27.43
98,4.58,0.41847575232386586,2.0,68,Medium,27.12
7,5.14,0.3116937961181005,1.625,66,Medium,28.65
136,5.45,0.39461393089344105,2.0,55,Medium,28.31
167,0.0,0.4682620968443878,2.3333333333333335,81,Medium,34.49
153,0.0,0.4708817797899246,1.5,70,Bad,23.32
102,0.0,0.45801103960609796,2.5555555555555554,161,Very Bad,37.78
15,7.39,0.293274890343574,1.625,64,Medium,27.04
44,6.67,0.53,2.25,64,Good,26.02
70,7.39,0.49523809523809526,2.25,64,Good,26.33
83,0.0,0.6266666666666667,1.5,68,Medium,25.07
93,3.6,0.5013023861816951,2.6,68,Good,25.7
31,4.0,0.6041666666666667,2.0,64,Good,26.29
60,8.08,0.4425925925925926,2.25,79,Good,25.83
54,7.94,0.4984848484848485,2.25,64,Medium,26.66
112,1.54,0.6666666666666666,1.5,68,Good,65.42
143,0.91,0.6366666666666667,1.5,68,Medium,65.55
177,0.0,0.4542666793377563,2.3333333333333335,79,Bad,25.73
126,0.0,0.5533333333333333,3.25,86,Good,28.74
106,0.0,0.6214285714285714,2.6,89,Good,29.24
157,3.68,0.4031383504824979,2.4,88,Very Bad,23.3
163,0.0,0.4622709979202165,2.6666666666666665,95,Good,29.71
132,1.0,0.5533333333333333,1.25,77,Bad,25.27
25,7.84,0.45057471264367815,1.625,64,Medium,26.99
74,5.83,0.5047619047619047,2.25,64,Medium,26.83
87,8.17,0.5595238095238095,4.0,70,Medium,28.33
40,6.12,0.4629032258064516,3.7333333333333334,146,Medium,34.22
11,5.0,0.4542749755585996,1.625,76,Medium,28.25
8,2.04,0.6034517780795955,1.75,97,Good,29.44
50,6.77,0.4537037037037037,2.25,67,Good,27.45
97,1.11,0.6366666666666667,1.5,64,Medium,68.88
64,7.86,0.4916666666666667,3.0,64,Medium,26.67
35,3.75,0.5051710362235705,2.0,64,Medium,63.12
122,4.75,0.5664374322361416,4.75,107,Medium,40.71
173,0.0,0.5124004630164968,1.6666666666666667,106,Bad,27.4
147,1.67,0.5633333333333332,1.5,84,Medium,26.35
116,7.07,0.5403508771929825,3.6666666666666665,75,Medium,29.12
107,4.75,0.5664374322361416,4.75,107,Medium,40.94
156,7.59,0.5736111111111111,2.4705882352941178,98,Medium,29.3
162,0.0,0.3909185607979695,3.0,66,Medium,26.88
133,3.33,0.6541666666666667,2.0,87,Bad,51.59
24,7.83,0.43478260869565216,1.625,64,Very Bad,22.03
75,7.5,0.5238095238095238,2.25,73,Good,27.69
86,3.33,0.6527777777777779,1.5,68,Medium,64.38
41,7.54,0.4833333333333333,2.4444444444444446,64,Medium,37.83
10,6.21,0.5944444444444444,1.7142857142857142,74,Medium,67.35
9,6.75,0.42536231884057973,1.625,64,Medium,27.59
51,6.76,0.44393939393939397,2.25,77,Good,29.62
96,8.88,0.6233333333333333,5.5,105,Medium,67.2
65,7.05,0.41363636363636364,2.5714285714285716,68,Medium,27.48
34,2.63,0.5527777777777778,2.25,64,Good,27.15
123,0.0,0.5722222222222222,1.5,81,Medium,26.75
172,0.0,0.4443320047618314,2.3333333333333335,83,Medium,29.63
117,1.38,0.6348484848484849,3.0,68,Medium,44.72
137,7.27,0.6102564102564103,3.75,127,Medium,32.62
166,1.39,0.44972122479230164,2.6666666666666665,122,Medium,29.84
152,0.0,0.6366666666666667,1.5,93,Bad,67.43
103,0.0,0.6166666666666667,2.0,86,Medium,27.27
14,8.41,0.475,1.625,81,Good,28.17
45,4.19,0.4545454545454546,2.0,64,Medium,27.73
71,6.0,0.4038677111977622,2.25,64,Good,26.37
20,6.61,0.37424242424242427,1.8571428571428572,85,Medium,29.04
82,0.0,0.7,3.25,68,Good,27.58
92,1.82,0.6399999999999999,1.5,68,Medium,64.86
30,5.29,0.5880952380952381,2.25,64,Good,26.58
61,6.47,0.3591983782639727,1.8181818181818181,64,Good,26.5
55,4.78,0.3815381061037382,2.25,77,Medium,27.32
113,6.25,0.6458333333333334,4.0,81,Medium,27.81
142,0.0,0.5833333333333333,3.25,68,Good,66.95
176,0.62,0.34877570365511235,3.6666666666666665,88,Good,27.57
127,1.0,0.6125,1.5,93,Medium,26.92
155,0.0,0.5733333333333333,2.0,68,Good,25.98
104,7.06,0.49444800130458494,4.166666666666667,90,Medium,31.46
130,3.85,0.6527777777777779,1.5,68,Bad,62.9
161,0.0,0.4105481904275991,1.5,73,Medium,31.26
85,5.29,0.62,2.5,64,Medium,28.18
76,7.78,0.5138888888888888,2.25,54,Medium,29.0
27,7.22,0.5619047619047619,2.5,71,Good,25.93
13,5.96,0.48185552710155943,2.4285714285714284,75,Medium,27.45
42,8.39,0.45333333333333337,1.9,94,Good,29.26
52,8.52,0.5183333333333333,2.25,53,Medium,29.37
37,0.0,0.48125,2.5,91,Good,29.15
66,5.5,0.5238095238095238,2.25,64,Good,26.01
95,0.0,0.6466666666666667,1.5,68,Medium,65.25
171,3.51,0.41425189413130287,3.6666666666666665,66,Good,28.05
120,2.73,0.6366666666666667,1.5,68,Medium,65.22
114,0.0,0.5933333333333333,1.5,99,Bad,27.52
145,2.73,0.6233333333333333,1.5,68,Medium,25.0
165,0.0,0.4068444867238954,2.1666666666666665,74,Bad,25.34
134,1.82,0.6366666666666667,1.5,94,Very Bad,65.31
100,2.31,0.6595238095238095,1.5,68,Good,64.6
151,2.94,0.6476190476190475,2.25,68,Good,25.6
46,5.92,0.3710239130978783,2.0,64,Good,26.65
17,6.62,0.47307692307692306,2.5,64,Medium,33.19
81,0.0,0.45999999999999996,3.0,99,Medium,38.85
23,0.0,0.30893583960348253,2.25,64,Medium,25.62
72,3.48,0.47619047619047616,2.25,64,Good,24.82
62,8.08,0.4425925925925926,2.25,79,Good,26.24
33,7.2,0.5354166666666667,2.2,49,Medium,27.15
91,0.71,0.6472222222222223,2.0,68,Medium,45.19
56,6.76,0.44393939393939397,2.25,77,Good,29.62
141,0.0,0.5375484464565913,1.5,68,Medium,65.23
110,6.13,0.6166666666666667,3.25,82,Medium,42.68
124,2.86,0.6309523809523809,2.0,68,Good,26.14
175,0.0,0.4443320047618314,2.3333333333333335,83,Medium,29.63
164,0.0,0.5124004630164968,2.1666666666666665,106,Medium,27.76
135,3.08,0.6499999999999999,1.5,68,Good,35.03
101,3.33,0.5013023861816951,2.6,68,Good,25.54
150,0.0,0.5733333333333333,2.0,94,Medium,27.51
47,8.63,0.4412280701754386,2.75,66,Medium,26.67
16,6.46,0.4601449275362319,4.0,68,Medium,27.62
80,1.33,0.5714285714285714,2.0,101,Bad,28.24
22,7.59,0.43950617283950616,3.0,70,Medium,28.46
73,5.71,0.5095238095238095,2.25,64,Good,26.56
63,7.05,0.41363636363636364,2.5714285714285716,68,Medium,27.48
32,5.88,0.5785714285714285,2.25,64,Good,45.76
90,0.0,0.6166666666666667,1.5,95,Medium,26.62
57,7.33,0.47500000000000003,2.0,64,Medium,27.42
140,6.54,0.5972222222222223,2.0,77,Medium,28.38
111,6.3,0.6316666666666667,3.25,107,Very Bad,36.31
125,2.0,0.6166666666666667,1.5,86,Medium,26.46
174,0.0,0.4712923998746908,2.3333333333333335,99,Good,28.3
154,7.11,0.6208333333333333,4.0,68,Medium,35.33
105,1.82,0.6366666666666667,1.5,94,Very Bad,66.45
131,2.73,0.63,1.5,75,Bad,64.02
160,4.0,0.41591856079796946,3.0,95,Good,29.0
84,7.45,0.4324534239316428,2.7,81,Good,40.37
77,7.89,0.5285714285714286,2.25,64,Good,25.45
26,7.22,0.5472222222222223,2.5,64,Good,25.75
12,6.02,0.33905000844153393,2.357142857142857,64,Good,26.47
43,8.36,0.45333333333333337,1.9,94,Good,29.3
53,7.33,0.47500000000000003,2.0,64,Medium,27.42
36,4.44,0.5266666666666666,2.25,64,Good,26.94
67,6.9,0.4375,1.8571428571428572,102,Medium,27.49
94,1.3,0.5770833333333334,2.4,68,Good,27.44
170,2.79,0.40710903698844564,3.6666666666666665,134,Good,39.18
121,5.26,0.5972222222222223,2.5,45,Medium,67.56
115,0.0,0.6357142857142857,3.0,93,Very Bad,19.33
144,0.0,0.5533333333333333,2.0,81,Medium,27.22
19,6.99,0.45576923076923076,2.1818181818181817,64,Medium,26.75
48,4.19,0.4545454545454546,2.0,64,Medium,27.73
0,6.67,0.55,2.25,107,Bad,28.64
58,6.67,0.5515151515151515,2.0,68,Very Bad,17.91
29,5.5,0.5666666666666667,2.25,64,Good,25.64
78,7.37,0.4880952380952381,2.25,66,Good,26.71
68,6.36,0.5416666666666667,2.5,49,Medium,28.69
39,8.36,0.45333333333333337,1.9,94,Good,29.3
4,7.21,0.43166666666666664,1.625,93,Bad,23.81
28,4.21,0.5583333333333333,2.25,64,Good,26.32
79,7.0,0.519047619047619,2.25,64,Good,24.89
69,4.35,0.5452380952380952,2.5,64,Good,26.3
38,6.75,0.40555555555555556,2.142857142857143,76,Medium,27.39
5,2.67,0.5266666666666666,2.25,64,Good,26.37
18,5.85,0.4760416666666667,1.8571428571428572,64,Medium,36.69
49,7.17,0.40625,2.0,64,Medium,27.4
1,2.86,0.53,2.0,64,Good,25.76
59,5.19,0.3815381061037382,2.25,69,Good,27.69
