#,Style Guide Adherence,Variable Name Quality,Complexity Score,Max Line,Comment Ratio,Readability,Readability Manual
1,6.73,0.554756611,2,88,Good,27.04,4
2,2.04,0.612280702,2,113,Medium,34.56,0
3,1.48,0.561111111,3,106,Very Bad,29.76,1
4,5.71,0.403628146,2.2,91,Medium,29.67,2
5,4.91,0.564035088,32,143,Medium,32.37,3
6,0,0.525,0,81,Medium,25.03,4
7,6.31,0.617982456,2.846153846,114,Good,27.31,2
8,8.51,0.449138576,7,108,Medium,30.66,1
9,5.18,0.631666667,4.5,98,Medium,29.36,2
10,2.67,0.64,0,244,Medium,35.91,3
11,6.53,0.452503399,2.363636364,89,Medium,42.99,2
12,7.19,0.425522351,3.4,205,Medium,38.29,1
13,6.45,0.592307692,2.6,100,Medium,31.04,1
14,0,0.615151515,1,132,Good,29.95,2
15,0.42,0.475778037,9.4,119,Medium,29.46,2
16,0,0.645238095,3,84,Medium,30.1,0
17,5.83,0.441151187,4,95,Medium,35.72,1
18,5.42,0.373047958,5.444444444,141,Medium,31.32,3
19,4.19,0.383203925,2.944444444,114,Medium,35.01,1
20,5.38,0.381318681,2,222,Medium,35.35,1
21,0,0.558601346,0,97,Good,27.54,0
22,6.23,0.592753623,2.833333333,98,Good,31.03,2
23,1.9,0.586666667,3.428571429,79,Medium,30.24,3
24,0,0.403865584,6.803571429,258,Good,35.96,3
25,0,0.691666667,4,108,Bad,26.7,3
26,4.92,0.62826087,3.363636364,103,Medium,30.42,4
27,5.76,0.505555556,2,97,Good,39.02,2
28,7.76,0.625490196,4,134,Medium,26.29,2
29,7.7,0.658823529,4.75,85,Medium,32.35,1
30,7.73,0.646153846,6,73,Medium,39.41,2
31,0,0.594736842,16,84,Medium,28.34,0
32,1.58,0.641666667,0,107,Very Bad,25.29,4
33,5.36,0.498181818,0,132,Good,26.6,4
34,1.13,0.622619048,3.222222222,289,Medium,34.17,2
35,0,0.6625,2.25,46,Very Bad,41.07,4
36,0,0.733333333,0,14996,Medium,1954.38,0
37,5.23,0.479148489,0,120,Medium,33.63,1
38,5.67,0.523958333,3.3,85,Medium,29.7,2
39,8.51,0.653333333,4.5,94,Medium,28.57,1
40,7.05,0.55619396,18,89,Medium,37.95,1
41,6.87,0.579544999,18,97,Medium,38.41,1
42,0,0,0,49890,Medium,4192.17,0
43,7.17,0.371277276,3.237288136,128,Medium,33.71,1
44,7.35,0.611904762,2.6,97,Medium,27.94,3
45,0,0.457984383,2.142857143,167,Medium,28.95,1
46,6.03,0.377647763,2.045454545,146,Medium,32.38,1
47,5.79,0.559139785,3.071428571,83,Medium,30.3,1
48,0,0.692222222,0,73,Good,31.76,1
49,7.67,0.430391514,3,105,Medium,30.77,2
50,6.27,0.602192983,2,128,Medium,36.54,3
51,7.35,0.542103364,4.166666667,166,Good,31.13,3
52,4.67,0.525555556,1.833333333,80,Medium,27.53,3
53,2.67,0.65,0,77,Medium,28.85,2
54,0,0.687037037,10,93,Medium,31.34,2
55,5,0.487826551,9,115,Medium,30.49,2
56,8.52,0.712820513,1.5,92,Medium,41.04,1
57,2.5,0.530208333,3,79,Medium,32.98,3
58,0,0.565686275,0,97,Medium,31.89,3
59,5.29,0.669047619,5,80,Medium,29.64,1
60,6.07,0.6,3.5,85,Medium,28.1,3
61,4.24,0.545555556,1,166,Good,28.73,4
62,4.95,0.393657106,3.236842105,126,Medium,30.89,3
63,8.75,0.606060606,2,71,Medium,29.68,1
64,0.95,0.478704059,1.1,78,Medium,29.06,2
65,6,0.631578947,4,85,Good,29.16,4
66,0,0.595,1,80,Very Bad,19.15,2
67,9.03,0.472488928,3.736842105,94,Medium,42.93,4
68,6.5,0.372243094,3.62745098,117,Medium,32.35,4
69,3.8,0.445564959,2.80952381,185,Medium,31.64,3
70,0,0.600877193,3.6,102,Good,29.91,3
71,7.39,0.594242424,4.166666667,135,Medium,27.82,3
72,7.67,0.484494921,4.074074074,85,Medium,33.04,3
73,7.39,0.514100055,4.5,84,Medium,28.95,2
74,0,0.434722222,3.5,109,Medium,30.43,2
75,9.01,0.392803575,6.933333333,100,Medium,30.26,3
76,7.94,0.387481996,1.741071429,102,Medium,35.27,4
77,8,0.680433465,0,92,Good,28.23,0
78,6.69,0.630555556,2,122,Medium,30.59,1
79,0,0.493366178,8.461538462,228,Medium,30.2,3
80,0,0.381682399,7,162,Medium,32.18,3
81,2.5,0.708333333,0,80,Very Bad,34.31,1
82,0.3,0.64139785,1,178,Good,29.49,2
83,6.94,0.49837547,2.25,96,Medium,28.61,2
84,4.88,0.630740741,5.142857143,126,Bad,25.29,1
85,6.25,0.629310345,2,92,Medium,28.59,3
86,8,0.683333333,0,76,Bad,22.02,4
87,?,0.504116615,3.333333333,199,Medium,32.18,3
88,7.62,0.430391514,2.909090909,106,Medium,30.81,2
89,6.98,0.535884526,2,114,Medium,32.39,2
90,?,0.528409091,2,120,Very Bad,28.77,0
91,?,0.504116615,3.333333333,199,Medium,32.18,1
92,0,0.701851852,1,78,Medium,29.65,1
93,6.88,0.579544999,18,91,Medium,37.84,1
94,6.25,0.55,0,240,Medium,36.99,1
95,8.28,0.627380952,0,68,Medium,26.24,1
96,4.24,0.538461539,1.8,91,Medium,27.37,2
97,5.81,0.553177636,0,95,Medium,33.4,2
98,6.67,0.689285714,0,87,Medium,29.89,2
99,7.5,0.595833333,0,61,Medium,27.95,4
100,6.06,0.518483991,7,140,Bad,28.49,3
101,7.45,0.643055556,1,118,Good,30.61,3
102,8.4,0.402317427,4.25,116,Medium,33.82,2
103,4.73,0.613888889,3.142857143,319,Medium,38.36,2
104,0,0.601666667,2.333333333,80,Bad,25.98,4
105,7.95,0.415155075,5.244897959,119,Medium,31.74,1
106,1.69,0.481547619,3.142857143,89,Medium,30.76,2
