code readability github complete
#,Style Guide Adherence,Variable Name Quality,Complexity Score,Max Line,Comment Ratio,Readability,Readability Category
431,0,0,0,81,Very Bad,15.45,3
171,7.14,0,1,83,Very Bad,22.39,0
399,0,0,0,117,Medium,46.29,2
42,0,0,0,49890,Medium,4192.17,0
456,1.88,0.225,1.5,91,Bad,30.68,2
264,6.04,0.23541495843800700,5.583333333333330,147,Medium,35.77,0
485,2.5,0.263768116,1.4285714285714300,127,Medium,32.22,2
330,0,0.26666666666666700,1.5,152,Very Bad,25.43,4
192,6.64,0.2684996655548800,12.7,159,Medium,35.94,3
179,?,0.2848905927582380,2.44,202,Medium,33.67,0
413,5.94,0.28664956148042100,4.294117647058820,150,Good,34.55,2
156,6.56,0.2878165812756140,7.357142857142860,213,Good,30.04,2
472,0,0.2883352156296920,7,91,Medium,35.12,2
186,7.34,0.2899371690856240,2.276595744680850,79,Good,27.37,4
279,7.31,0.2904820144629670,3.1940298507462700,120,Medium,33.72,2
193,4.64,0.30216980532853200,7.666666666666670,98,Medium,31.62,1
317,0,0.30937402460004100,1.1428571428571400,81,Medium,29.42,4
461,8.5,0.3123698127812440,2,82,Medium,30.35,3
362,3.57,0.31488865308133500,4.076923076923080,107,Medium,30.4,2
309,8.27,0.31845629700483400,4.4,100,Medium,28.95,2
462,4.01,0.3194448232234930,2.4482758620689700,129,Medium,34.32,2
364,7.14,0.32821449919044700,1.2173913043478300,126,Medium,32.6,0
257,0.08,0.33094695847472700,4,162,Good,32.93,2
445,5.88,0.3332472891397750,5.75,95,Bad,26.89,4
174,7.14,0.3384300948056780,2.3793103448275900,81,Medium,30.22,2
214,7.67,0.3427592799067500,2.1818181818181800,89,Medium,31.82,3
464,4.03,0.34333471182072500,2.769230769230770,178,Good,38.04,1
282,4.2,0.3509181289543720,1.3888888888888900,112,Medium,35.24,2
426,?,0.35404850427134400,4.2,121,Medium,30.54,4
203,0,0.3555555555555560,1.25,79,Medium,30.22,4
196,5.87,0.35853747760505800,9.470588235294120,148,Good,33.64,4
242,4.05,0.35997650384644900,1.4285714285714300,108,Good,32.07,4
412,3.36,0.3622673645615580,3.2857142857142900,185,Medium,31.54,4
397,8.21,0.3625666930920180,3.6470588235294100,98,Medium,30.35,4
135,0,0.3666189723876630,15.545454545454500,132,Medium,31.57,0
246,0,0.3672807424127440,1.45,132,Medium,34.98,3
442,0,0.3676793908641220,2,132,Medium,31.26,2
261,?,0.36848493028665000,1.5714285714285700,93,Medium,42.04,4
43,7.17,0.37127727629465100,3.237288136,128,Medium,33.71,1
68,6.5,0.3722430940767940,3.627450980392160,117,Medium,32.36,4
149,7.23,0.3725594236223020,1.121212121212120,246,Good,31.72,4
46,6.03,0.3776477632778030,2.0454545454545500,146,Medium,32.38,1
272,0,0.3780624578751270,7,139,Medium,30.72,0
292,?,0.3790099143783250,2.5,185,Medium,30.46,1
260,6.29,0.37934162035466200,4.5,120,Medium,41.95,2
233,8.08,0.3812144874380190,6.333333333333330,88,Medium,33.17,2
20,5.38,0.3813186813186810,2,222,Medium,35.36,1
227,7.95,0.3816134500330770,2.625,80,Medium,28.93,2
80,0,0.3816823989313880,7,162,Medium,32.18,3
19,4.19,0.3832039252462750,2.9444444444444400,114,Medium,35.03,1
76,7.94,0.38748199611992900,1.7410714285714300,102,Medium,35.33,4
178,2.58,0.3880020768976230,1.967741935483870,130,Medium,32.41,3
455,1.5,0.3921383812142140,2.2857142857142900,105,Medium,32.07,2
75,9.01,0.3928035744743070,6.933333333333330,100,Medium,30.34,3
308,2.63,0.39284016533214400,2.0625,157,Medium,33.41,1
161,5.63,0.3934813671628600,2.24,128,Medium,28.96,1
62,4.95,0.393657105,3.236842105263160,126,Medium,30.89,3
421,4.65,0.3974221141047460,5.857142857142860,106,Medium,33.95,1
4,5.71,0.40362814559854100,2.2,91,Medium,29.7,2
429,4,0.40590876191854500,2.6666666666666700,97,Bad,38.09,0
247,6.85,0.4084950798602260,4.142857142857140,122,Medium,30.82,4
437,5.81,0.4107468721969410,3.642857142857140,135,Medium,33.98,3
390,5.27,0.41452841167860000,3.25,167,Medium,32.7,4
388,5.24,0.41600000000000000,5.833333333333330,102,Medium,31.25,2
116,5.46,0.4193485985028010,2.2222222222222200,97,Medium,29.47,1
469,0,0.4198825335328570,7.260869565217390,133,Medium,33.79,2
280,4.25,0.4219298245614040,3.7142857142857100,274,Medium,38.23,0
458,0,0.4230361842624250,4,71,Medium,28.44,4
427,4.68,0.42398563777301600,3.375,168,Medium,29.09,2
224,8.24,0.4248244123955320,2.049382716049380,119,Medium,38.03,4
12,7.19,0.42552235089242500,3.4,205,Medium,38.3,1
88,7.62,0.43039151424844100,2.909090909090910,106,Medium,30.88,2
269,2.49,0.4315822967577290,6.095238095238100,120,Medium,31.66,1
372,0,0.43251957278928600,3.375,81,Medium,31.52,2
74,0,0.43472222222222200,3.5,109,Medium,30.43,2
423,6.52,0.43846153846153800,3,100,Medium,32.47,3
415,1.98,0.43888020335946700,2,114,Good,32.33,3
180,2.2,0.4393939393939390,2.8125,123,Medium,43.57,1
